Region	Gene	importance_R2G	rho_R2G	importance_x_rho	importance_x_abs_rho	TF	is_extended	eRegulon_name	Gene_signature_name	Region_signature_name	importance_TF2G	regulation	rho_TF2G	triplet_rank
chr20:62577064-62577983	NTSR1	0.0199827099860462	0.0616390837272861	0.0012317159339279	0.0012317159339279	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.664149588768395	1	0.0634988279552041	7100
chr1:161261072-161261846	PCP4L1	0.0106708625668795	0.0935280059335286	0.0009980244974709	0.0009980244974709	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	2.0413824168999213	1	0.0815080645591479	7447
chr8:144580407-144581472	LRRC24	0.0559359553448605	0.062136239354415	0.0034756499098261	0.0034756499098261	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	2.227445458839819	1	0.0997044640106748	1332
chr1:9317562-9318565	SPSB1	0.0246655985170038	0.1164249393437675	0.0028716908112198	0.0028716908112198	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.8283752181218904	1	0.0507513032846403	5851
chr20:63370767-63371738	CHRNA4	0.0580334693287851	0.1024972985461779	0.0059482738314629	0.0059482738314629	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	3.1734182091224645	1	0.0942892015280176	2894
chr20:44803123-44804241	RIMS4	0.0406287284489129	0.0807076408823517	0.0032790488251614	0.0032790488251614	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	2.310286549365117	1	0.0512401955233856	857
chr20:62647562-62648479	NTSR1	0.0169505108548864	0.050261918116745	0.0008519651886252	0.0008519651886252	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.664149588768395	1	0.0634988279552041	9896
chr3:133944639-133945821	SLCO2A1	0.0444047280805435	0.0922306051312272	0.0040954749415561	0.0040954749415561	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.6034123355070904	1	0.0775767887618029	2996
chr14:99590435-99591417	HHIPL1	0.0600071787319293	0.058003415496117	0.0034806213207378	0.0034806213207378	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.534376235841522	1	0.055701999075647	3054
chr20:63352017-63352986	CHRNA4	0.0180301499356435	0.0545655972906976	0.0009838259004792	0.0009838259004792	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	3.1734182091224645	1	0.0942892015280176	5801
chr1:9399383-9400477	SPSB1	0.0266532549595207	0.097382254016468	0.0025955540448337	0.0025955540448337	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.8283752181218904	1	0.0507513032846403	3967
chr1:36137492-36138453	ADPRS	0.0289107247495817	0.0505133191692923	0.0014603766666911	0.0014603766666911	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	2.8230330890789936	1	0.0637100739781494	5456
chr14:99560817-99561824	HHIPL1	0.0434660135316818	0.0554439578498895	0.0024099278221532	0.0024099278221532	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	1.534376235841522	1	0.055701999075647	3104
chr12:102957337-102958859	ASCL1	0.0886727267311255	0.1071911474712935	0.0095049313277177	0.0095049313277177	ASCL1	False	ASCL1_direct_+/+	ASCL1_direct_+/+_(10g)	ASCL1_direct_+/+_(14r)	3.9499515532732463	1	1.0	834
chr15:38535249-38536169	RASGRP1	0.0184890847825055	0.1462485199841664	0.0027040012853032	0.0027040012853032	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.294412341130052	1	0.1202952835914098	7652
chr2:230908357-230909328	PSMD1	0.0398337543307043	0.0647425282098705	0.0025789379634606	0.0025789379634606	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.0881052030778524	1	0.0864903376724813	8269
chr3:29065092-29066048	RBMS3	0.0199844603351293	0.0663684592673856	0.0013263378417327	0.0013263378417327	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	2.458528596088513	1	0.1438285854328983	8532
chr1:177102771-177103709	BRINP2	0.0282103735774636	0.1529678899675819	0.0043152813213418	0.0043152813213418	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	0.8829038406401851	1	0.1462490786533367	7933
chr7:38502600-38503558	AMPH	0.0244307495101849	0.0738570642526169	0.0018043834363133	0.0018043834363133	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.6283835808831886	1	0.1258235281888828	9511
chr4:105276259-105277237	PPA2	0.054410695964342	0.050420301505433	0.0027434036956425	0.0027434036956425	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	0.9002774097062003	1	0.1120856389999581	7079
chr11:16511054-16512153	SOX6	0.0305583313574398	0.6588367766687679	0.0201329525319118	0.0201329525319118	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.089830203605761	1	0.2123661235445113	5803
chr4:158796493-158797374	FNIP2	0.0190739919624104	0.0722852716868977	0.0013787686911565	0.0013787686911565	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.113479545072971	1	0.0806426391317273	4418
chr2:60453211-60453601	BCL11A	0.022940045712277	0.494069726629581	0.0113339821139348	0.0113339821139348	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.8132490536209491	1	0.2596926796834475	9600
chr2:172985235-172986203	RAPGEF4	0.0168956727169467	0.1824462685068311	0.0030825524411196	0.0030825524411196	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.0422632501493672	1	0.151236410900341	8572
chr5:170278433-170279513	KCNIP1	0.0103783835276963	0.1382107523244586	0.0014344041952746	0.0014344041952746	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.080597624783571	1	0.1110497454268383	8944
chr2:46854887-46855856	SOCS5	0.0528073320757522	0.0638805003359336	0.0033733587944048	0.0033733587944048	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(208g)	BACH1_direct_+/+_(472r)	1.2199685528429187	1	0.0825499502275477	788
